name,accords,longevity,sillage,gender,price-value,winter,spring,summer,fall,day,night,votes,rating,top notes,middle notes,base notes
Nature Millenaire Yves Rocher for women,"{'woody': 79.7803, 'amber': 48.5836, 'powdery': 47.3391, 'warm spicy': 46.0806, 'iris': 45.9688, 'musky': 45.3255, 'earthy': 45.3255}","{'very weak': 7, 'weak': 16, 'moderate': 55, 'long lasting': 76, 'eternal': 32}","{'intimate': 25, 'moderate': 80, 'strong': 87, 'enormous': 38}","{'female': 38, 'more female': 18, 'unisex': 26, 'more male': 0, 'male': 0}",,74.0864,15.6146,11.2957,100.0,71.0963,70.0997,847,4.35,,"['Benzoin', 'Woodsy Notes', 'Virginia Cedar', 'Iris', 'French labdanum', 'Vetyver', 'Musk']",
Tea for Two L'Artisan Parfumeur for women and men,"{'warm spicy': 74.7873, 'sweet': 72.005, 'cinnamon': 66.9251, 'tobacco': 57.898, 'green': 54.4686, 'honey': 50.3957, 'fresh': 47.0673, 'anis': 46.5737, 'soft spicy': 45.5749, 'floral': 45.5749}","{'very weak': 43, 'weak': 66, 'moderate': 307, 'long lasting': 172, 'eternal': 38}","{'intimate': 156, 'moderate': 416, 'strong': 126, 'enormous': 119}","{'female': 7, 'more female': 22, 'unisex': 199, 'more male': 36, 'male': 12}",,72.155,27.4818,14.4068,100.0,85.8354,49.7579,"2,641",4.11,"['Tea', 'Star Anise', 'Bergamot']","['Cinnamon', 'Spices', 'Ginger', 'Gingerbread']","['Tobacco', 'Honey', 'Leather', 'Vanilla']"
I Am Eisenberg for women,"{'fruity': 84.5919, 'sweet': 76.5142, 'fresh spicy': 69.7556, 'woody': 67.5143, 'floral': 63.4148, 'powdery': 59.0665, 'warm spicy': 57.9421, 'citrus': 55.4446, 'amber': 53.2232, 'aromatic': 53.2232}","{'intimate': 125, 'moderate': 307, 'strong': 97, 'enormous': 108}",,"{'female': 177, 'more female': 33, 'unisex': 32, 'more male': 3, 'male': 0}",,57.783,75.2358,42.9245,75.7075,100.0,36.7925,"1,397",3.95,"['Raspberry', 'Black Pepper', 'Bergamot', 'Pink Pepper']","['Magnolia', 'Violet', 'Rose', 'Jasmine']","['Sandalwood', 'Amber', 'Vetiver', 'Musk', 'Vanilla', 'Benzoin']"
Noix de Coco de Malaisie Yves Rocher for women,"{'coconut': 58.0, 'sweet': 54.5, 'lactonic': 51.0, 'tropical': 51.0, 'vanilla': 51.0}","{'intimate': 103, 'moderate': 222, 'strong': 82, 'enormous': 34}",,"{'female': 53, 'more female': 28, 'unisex': 11, 'more male': 1, 'male': 0}",,53.4615,34.8077,73.4615,38.6538,100.0,23.4615,"1,309",3.76,,['Coconut'],
Osmanthus The Different Company for women and men,"{'floral': 85.8822, 'fruity': 81.9403, 'citrus': 71.3219, 'green': 61.7757, 'fresh spicy': 53.329, 'rose': 52.6048, 'aromatic': 50.9154, 'musky': 49.2263, 'lactonic': 49.2263, 'soft spicy': 49.2263}","{'very weak': 38, 'weak': 38, 'moderate': 58, 'long lasting': 18, 'eternal': 6}","{'intimate': 84, 'moderate': 65, 'strong': 20, 'enormous': 34}","{'female': 30, 'more female': 14, 'unisex': 25, 'more male': 2, 'male': 3}",,13.75,86.25,69.375,40.625,100.0,17.5,534,3.73,"['Green Notes', 'Bergamot', 'Mandarin Orange']","['Osmanthus', 'Jasmine', 'Geranium']","['Musk', 'Rose']"
Hot Couture Collection No.1 Givenchy for women,"{'fruity': 85.9123, 'woody': 84.5728, 'sweet': 84.4626, 'fresh spicy': 69.5296, 'citrus': 67.0807, 'powdery': 64.039, 'amber': 62.2384, 'aromatic': 61.8211, 'floral': 61.6237, 'warm spicy': 61.6237}","{'intimate': 33, 'moderate': 69, 'strong': 114, 'enormous': 111}",,"{'female': 89, 'more female': 5, 'unisex': 5, 'more male': 0, 'male': 2}",,99.6587,41.9795,25.5973,75.7679,60.0683,100.0,"1,158",4.37,"['Raspberry', 'Bergamot', 'Orange']","['Pepper', 'Magnolia', 'Vetiver']","['Sandalwood', 'Amber', 'Musk']"
Back To Paris Eisenberg for women,"{'woody': 96.5675, 'powdery': 64.7549, 'soft spicy': 64.6098, 'vanilla': 64.2313, 'musky': 62.2031, 'violet': 57.9353, 'citrus': 57.2779, 'warm spicy': 56.8546, 'sweet': 53.4448, 'rose': 53.4448}","{'intimate': 60, 'moderate': 139, 'strong': 71, 'enormous': 58}",,"{'female': 85, 'more female': 20, 'unisex': 7, 'more male': 0, 'male': 1}",,71.3592,66.5049,34.466,100.0,96.1165,56.7961,711,3.9,"['Pink Pepper', 'Bergamot', 'Mandarin Orange', 'Black Currant', 'Rhubarb']","['Violet', 'Rose', 'Iris', 'Jasmine']","['Sandalwood', 'Vanilla', 'Musk', 'Patchouli', 'Tonka Bean', 'Cedar']"
Hot Couture Eau de Toilette Givenchy for women,"{'fruity': 79.7546, 'sweet': 49.6216, 'warm spicy': 47.9115, 'rose': 46.4715, 'citrus': 45.4941, 'amber': 44.7677, 'aromatic': 44.7677}","{'intimate': 72, 'moderate': 199, 'strong': 240, 'enormous': 123}",,"{'female': 169, 'more female': 19, 'unisex': 7, 'more male': 0, 'male': 0}",,70.4036,78.4753,59.8655,82.7354,100.0,69.9552,"1,651",4.27,"['Bergamot', 'Amalfi Lemon']","['Raspberry', 'Spices', 'Big Strawberry', 'Magnolia', 'Rose', 'Tuberose']","['Vetiver', 'Amber', 'Musk']"
Rouge Hermes Hermès for women,"{'woody': 75.8601, 'powdery': 69.2492, 'rose': 66.8989, 'warm spicy': 64.039, 'yellow floral': 57.2078, 'iris': 54.7767, 'amber': 54.0591, 'aromatic': 50.5393, 'sweet': 50.0066, 'floral': 50.0066}","{'very weak': 15, 'weak': 24, 'moderate': 50, 'long lasting': 100, 'eternal': 82}","{'intimate': 31, 'moderate': 106, 'strong': 138, 'enormous': 112}","{'female': 42, 'more female': 26, 'unisex': 14, 'more male': 0, 'male': 2}",,98.9744,32.8205,20.0,100.0,65.1282,96.9231,888,4.05,"['Rose', 'Ylang-Ylang', 'Iris']","['Sandalwood', 'Amber', 'Vanilla', 'Cedar']","['Spices', 'Myrtle']"
Odeur 71 Comme des Garcons for women and men,"{'aromatic': 84.4508, 'woody': 76.0501, 'metallic': 67.553, 'fresh spicy': 57.63, 'mineral': 57.63}","{'very weak': 18, 'weak': 23, 'moderate': 81, 'long lasting': 46, 'eternal': 8}","{'intimate': 40, 'moderate': 108, 'strong': 41, 'enormous': 23}","{'female': 0, 'more female': 2, 'unisex': 88, 'more male': 10, 'male': 5}",,48.4848,78.7879,63.6364,72.7273,100.0,31.8182,507,3.91,,"['Ink', 'Metallic notes', 'West Indian Bay', 'Hiacynth', 'Bamboo', 'Incense', 'Fir Resin', 'Oakmoss', 'Woody Notes', 'White Pepper']",
Cafe Tonka Les Senteurs Gourmandes for women and men,"{'warm spicy': 80.1235, 'amber': 79.5475, 'coffee': 61.4569, 'vanilla': 51.8931, 'fresh spicy': 47.9754, 'sweet': 45.6709, 'aromatic': 45.6709}","{'very weak': 5, 'weak': 8, 'moderate': 31, 'long lasting': 10, 'eternal': 4}","{'intimate': 18, 'moderate': 38, 'strong': 18, 'enormous': 15}","{'female': 10, 'more female': 7, 'unisex': 18, 'more male': 4, 'male': 0}","{'way overpriced': 6, 'overpriced': 1, 'ok': 8, 'good value': 12, 'great value': 5}",90.566,45.283,15.0943,100.0,77.3585,49.0566,137,3.82,"['Saffron', 'Pepper']",['Coffee'],"['Tonka Bean', 'Amber']"
Initial Boucheron for women,"{'floral': 80.7018, 'fruity': 78.3125, 'fresh spicy': 75.4238, 'honey': 70.9341, 'fresh': 70.2776, 'aromatic': 69.3846, 'patchouli': 69.0171, 'warm spicy': 68.4268, 'sweet': 67.8097, 'woody': 67.8097}","{'very weak': 9, 'weak': 22, 'moderate': 52, 'long lasting': 62, 'eternal': 38}","{'intimate': 41, 'moderate': 64, 'strong': 75, 'enormous': 60}","{'female': 42, 'more female': 6, 'unisex': 4, 'more male': 0, 'male': 0}",,91.411,40.4908,26.3804,77.9141,69.3252,100.0,658,4.07,"['Pepper', 'Cassis', 'Red currant leaf', 'Mandarin Orange']","['Patchouli', 'Rose', 'Jasmine', 'Wildflowers']","['Honey', 'Almond', 'Musk']"
Sa Majeste la Rose Serge Lutens for women and men,"{'rose': 59.6068, 'floral': 58.6896, 'honey': 51.4684, 'musky': 46.4916, 'sweet': 46.1988, 'woody': 44.3123, 'warm spicy': 44.3123}","{'very weak': 20, 'weak': 36, 'moderate': 131, 'long lasting': 166, 'eternal': 61}","{'intimate': 71, 'moderate': 217, 'strong': 150, 'enormous': 81}","{'female': 55, 'more female': 41, 'unisex': 31, 'more male': 0, 'male': 2}","{'way overpriced': 7, 'overpriced': 31, 'ok': 48, 'good value': 2, 'great value': 4}",43.6782,93.3333,51.7241,61.6092,100.0,42.7586,"1,793",3.88,,"['Moroccan Rose', 'White Honey', 'Musk', 'Guaiac Wood', 'Clove']",
Vanille Noire Les Senteurs Gourmandes for women and men,"{'vanilla': 61.9566, 'warm spicy': 56.174, 'soft spicy': 51.0001, 'powdery': 50.8478, 'sweet': 50.8478}","{'intimate': 12, 'moderate': 19, 'strong': 13, 'enormous': 8}",{},"{'female': 7, 'more female': 6, 'unisex': 15, 'more male': 1, 'male': 0}",,97.0588,23.5294,20.5882,100.0,82.3529,76.4706,92,4.14,,"['Mexican Vanilla', 'Cloves', 'Pink Pepper']",
Rose Poivree The Different Company for women and men,"{'aromatic': 96.0527, 'rose': 93.0265, 'soft spicy': 88.3422, 'musky': 80.7895, 'fresh spicy': 68.5264, 'animalic': 50.3157, 'warm spicy': 50.0791, 'woody': 49.3159, 'herbal': 49.2634, 'powdery': 49.2634}","{'very weak': 10, 'weak': 17, 'moderate': 70, 'long lasting': 29, 'eternal': 16}","{'intimate': 41, 'moderate': 80, 'strong': 48, 'enormous': 28}","{'female': 11, 'more female': 3, 'unisex': 24, 'more male': 0, 'male': 0}",,50.8772,49.1228,28.9474,91.2281,100.0,54.386,525,3.84,"['Coriander', 'Black Pepper', 'Pink Pepper']",['Rose'],"['Civet', 'Vetiver']"
Hypnotic Poison Extrait de Parfum Dior for women,"{'vanilla': 97.2656, 'white floral': 60.6251, 'rose': 52.5313, 'sweet': 51.0, 'powdery': 46.9532, 'floral': 45.7501, 'citrus': 45.7501}","{'intimate': 5, 'moderate': 38, 'strong': 62, 'enormous': 63}",,"{'female': 43, 'more female': 4, 'unisex': 5, 'more male': 0, 'male': 0}",,97.9167,25.0,20.8333,53.125,43.75,100.0,325,4.3,"['Jasmine', 'African Orange Flower']",['Rose'],['Vanille']
Musc Ravageur Frederic Malle for women and men,"{'warm spicy': 81.9828, 'vanilla': 73.447, 'powdery': 67.2228, 'musky': 63.969, 'cinnamon': 63.8201, 'woody': 60.8721, 'amber': 53.1178, 'sweet': 48.1703, 'aromatic': 47.9546, 'lavender': 47.9546}","{'very weak': 93, 'weak': 113, 'moderate': 615, 'long lasting': 1629, 'eternal': 643}","{'intimate': 265, 'moderate': 1372, 'strong': 1449, 'enormous': 442}","{'female': 90, 'more female': 170, 'unisex': 1249, 'more male': 648, 'male': 220}",,100.0,31.9849,16.4461,93.8752,53.3459,90.775,"7,291",4.2,"['Lavender', 'Tangerine', 'Bergamot']","['Cinnamon', 'Cloves']","['Musk', 'Vanilla', 'Tonka Bean', 'Amber', 'Sandalwood', 'Guaiac Wood', 'Cedar']"
Remember Me Dior for women,"{'floral': 78.9301, 'green': 65.1423, 'white floral': 62.958, 'powdery': 62.3248, 'fresh': 56.5626, 'fresh spicy': 52.7096, 'citrus': 51.6868, 'violet': 46.8114, 'yellow floral': 45.9566, 'woody': 45.9566}","{'very weak': 9, 'weak': 9, 'moderate': 35, 'long lasting': 16, 'eternal': 9}","{'intimate': 18, 'moderate': 42, 'strong': 26, 'enormous': 29}","{'female': 14, 'more female': 4, 'unisex': 1, 'more male': 0, 'male': 0}",,9.23077,99.2308,84.6154,20.0,100.0,17.6923,424,4.2,"['Hiacynth', 'Yuzu', 'Bergamot']","['Lily-of-the-Valley', 'Lilac', 'Mimosa', 'Violet', 'Jasmine']","['Iris', 'Cedar', 'Sandalwood']"
Nemo Cacharel for men,"{'fresh spicy': 79.2294, 'warm spicy': 74.711, 'aromatic': 59.4476, 'leather': 54.1651, 'woody': 52.4792, 'lavender': 50.0064, 'amber': 47.6235, 'floral': 45.1283, 'animalic': 44.6115, 'vanilla': 44.6115}","{'very weak': 13, 'weak': 18, 'moderate': 66, 'long lasting': 84, 'eternal': 28}","{'intimate': 24, 'moderate': 104, 'strong': 74, 'enormous': 42}","{'female': 0, 'more female': 0, 'unisex': 5, 'more male': 16, 'male': 36}",,82.9114,64.557,21.519,100.0,75.9494,98.7342,524,4.34,"['Cardamom', 'Nutmeg', 'Lavender', 'Betel Pepper']","['Labdanum', 'Caraway', 'Carnation', 'Geranium', 'Jasmine']","['Leather', 'Vanilla', 'Cedar', 'Patchouli']"
Gold Issime Ulric de Varens for women,"{'powdery': 98.1311, 'aldehydic': 77.3028, 'fresh': 74.3826, 'white floral': 68.1535, 'yellow floral': 63.7933, 'sweet': 55.9874, 'soapy': 51.0233, 'violet': 48.4148, 'floral': 48.4148, 'woody': 48.4148}","{'intimate': 20, 'moderate': 65, 'strong': 27, 'enormous': 13}",,"{'female': 47, 'more female': 8, 'unisex': 0, 'more male': 0, 'male': 1}",,42.3077,84.6154,45.1923,60.5769,100.0,37.5,246,3.76,,"['Aldehydes', 'Powdery Notes', 'Ylang-Ylang', 'Rice', 'Jasmine', 'African Orange Flower', 'Violet', 'Rose']",
Miracle Lancôme for women,"{'floral': 68.6641, 'citrus': 68.3224, 'warm spicy': 64.5003, 'fresh spicy': 64.2729, 'fruity': 56.3035, 'fresh': 54.6124, 'tropical': 47.2126, 'white floral': 46.9869, 'musky': 46.9869}","{'very weak': 180, 'weak': 440, 'moderate': 1818, 'long lasting': 1025, 'eternal': 286}","{'intimate': 592, 'moderate': 2217, 'strong': 894, 'enormous': 397}","{'female': 1432, 'more female': 118, 'unisex': 37, 'more male': 3, 'male': 4}","{'way overpriced': 93, 'overpriced': 326, 'ok': 770, 'good value': 232, 'great value': 52}",25.6066,92.997,61.771,35.5896,100.0,22.8395,"13,285",3.94,"['Litchi', 'Freesia']","['Magnolia', 'Pepper', 'Ginger', 'Mandarin Orange', 'Jasmine']","['Jasmine', 'Musk', 'Amber']"
Arabie Serge Lutens for women and men,"{'fresh spicy': 96.6681, 'sweet': 95.5522, 'fruity': 87.4939, 'warm spicy': 82.1466, 'amber': 70.4543, 'woody': 59.132, 'aromatic': 49.6436, 'balsamic': 44.6612, 'powdery': 44.6612}","{'very weak': 36, 'weak': 52, 'moderate': 184, 'long lasting': 405, 'eternal': 169}","{'intimate': 109, 'moderate': 353, 'strong': 440, 'enormous': 204}","{'female': 16, 'more female': 19, 'unisex': 166, 'more male': 27, 'male': 12}","{'way overpriced': 12, 'overpriced': 42, 'ok': 106, 'good value': 20, 'great value': 10}",100.0,21.2857,36.8571,92.5714,79.2857,86.0,"3,211",3.99,,"['Dried Fruits', 'Cloves', 'Dates', 'Nutmeg', 'Caraway', 'Bay Leaf', 'Resin', 'Siam Benzoin', 'Myrrh', 'Fig', 'Sandalwood', 'Mandarin Orange', 'Tonka Bean', 'Cedar']",
Flower by Kenzo Kenzo for women,"{'powdery': 89.1922, 'floral': 86.3693, 'violet': 73.2534, 'rose': 70.5386, 'amber': 68.9545, 'vanilla': 67.7107, 'musky': 61.9013, 'sweet': 60.5079, 'balsamic': 49.0111, 'woody': 49.0111}","{'very weak': 102, 'weak': 313, 'moderate': 1503, 'long lasting': 1492, 'eternal': 439}","{'intimate': 466, 'moderate': 1988, 'strong': 1202, 'enormous': 435}","{'female': 1766, 'more female': 259, 'unisex': 110, 'more male': 5, 'male': 9}","{'way overpriced': 60, 'overpriced': 288, 'ok': 921, 'good value': 486, 'great value': 88}",53.64,80.6735,39.7202,57.4342,100.0,37.8468,"13,888",3.62,"['Bulgarian Rose', 'Hawthorn', 'Black Currant', 'Mandarin Orange']","['Parma Violet', 'Rose', 'Opoponax', 'Jasmine']","['Vanilla', 'White Musk', 'Incense']"
Cassandra Blanc Jeanne Arthes for women,"{'woody': 78.5869, 'vanilla': 78.147, 'patchouli': 67.5941, 'powdery': 65.8353, 'fruity': 63.8346, 'warm spicy': 59.1301, 'sweet': 56.6127, 'balsamic': 56.1619, 'floral': 49.2587, 'earthy': 49.2587}","{'intimate': 49, 'moderate': 89, 'strong': 50, 'enormous': 34}",,"{'female': 45, 'more female': 9, 'unisex': 7, 'more male': 0, 'male': 0}",,100.0,50.6494,22.0779,83.1169,92.2078,52.5974,527,3.53,"['Fruity Notes', 'Amalfi Lemon']",['Floral Notes'],"['Vanille', 'Patchouli', 'Sandalwood', 'Virginia Cedar', 'Musk']"
Mahora Guerlain for women,"{'white floral': 85.6488, 'woody': 82.5533, 'tuberose': 72.6187, 'floral': 71.2947, 'sweet': 68.8318, 'yellow floral': 60.1595, 'green': 57.9473, 'vanilla': 53.0106, 'powdery': 51.4399, 'citrus': 51.4399}","{'very weak': 24, 'weak': 27, 'moderate': 109, 'long lasting': 174, 'eternal': 110}","{'intimate': 45, 'moderate': 145, 'strong': 261, 'enormous': 114}","{'female': 78, 'more female': 22, 'unisex': 15, 'more male': 1, 'male': 0}",,80.798,42.394,45.3865,96.5087,77.8055,100.0,"1,792",4.09,"['Almond Blossom', 'Green Notes', 'Orange']","['Tuberose', 'Ylang-Ylang', 'Jasmine', 'Neroli']","['Sandalwood', 'Vanilla', 'Vetiver']"
Le Parfum de Therese Frederic Malle for women and men,"{'fruity': 73.3301, 'sweet': 70.1797, 'woody': 69.5015, 'citrus': 67.3685, 'ozonic': 65.2242, 'rose': 64.6772, 'leather': 62.0303, 'aquatic': 51.8677, 'aromatic': 51.3534, 'fresh': 51.3534}","{'very weak': 25, 'weak': 37, 'moderate': 153, 'long lasting': 151, 'eternal': 46}","{'intimate': 53, 'moderate': 255, 'strong': 124, 'enormous': 102}","{'female': 70, 'more female': 64, 'unisex': 71, 'more male': 1, 'male': 2}",,31.5476,87.7976,65.7738,74.7024,100.0,42.2619,"1,415",3.95,"['Melon', 'Tangerine']","['Plum', 'Rose']","['Leather', 'Vetiver', 'Cedar']"
1740 Marquis de Sade Histoires de Parfums for men,"{'leather': 92.1713, 'herbal': 89.6219, 'warm spicy': 82.6346, 'aromatic': 78.9484, 'woody': 67.4365, 'sweet': 62.544, 'patchouli': 60.2808, 'amber': 59.7532, 'balsamic': 57.6412, 'smoky': 57.6412}","{'very weak': 40, 'weak': 40, 'moderate': 216, 'long lasting': 597, 'eternal': 689}","{'intimate': 111, 'moderate': 486, 'strong': 794, 'enormous': 383}","{'female': 14, 'more female': 7, 'unisex': 229, 'more male': 268, 'male': 414}","{'way overpriced': 30, 'overpriced': 90, 'ok': 469, 'good value': 144, 'great value': 57}",96.1397,30.8824,13.2353,100.0,49.8162,88.6949,"3,060",4.21,"['Artemisia', 'Bergamot']","['Patchouli', 'Cardamom', 'Coriander']","['Immortelle', 'Leather', 'French labdanum', 'Elemi resin', 'Birch', 'Vanilla', 'Virginia Cedar']"
Blanc Violette Histoires de Parfums for women,"{'powdery': 66.407, 'violet': 50.1762, 'woody': 49.4364, 'iris': 48.5226, 'musky': 45.5636, 'sweet': 44.4249, 'floral': 44.4249}","{'very weak': 13, 'weak': 24, 'moderate': 54, 'long lasting': 15, 'eternal': 25}","{'intimate': 60, 'moderate': 66, 'strong': 24, 'enormous': 35}","{'female': 22, 'more female': 11, 'unisex': 13, 'more male': 0, 'male': 1}",,42.8571,100.0,59.0476,53.3333,98.0952,31.4286,353,3.8,"['Violet', 'Iris', 'Bergamot']","['Violet', 'Anise', 'Ylang-Ylang']","['Violet', 'Powdery Notes', 'Rice', 'Musk', 'Sandalwood', 'Vanille']"
Mauboussin Mauboussin for women,"{'amber': 92.0632, 'woody': 89.5465, 'fruity': 75.0343, 'warm spicy': 73.117, 'sweet': 68.3416, 'patchouli': 65.9561, 'vanilla': 55.9977, 'balsamic': 55.9683, 'powdery': 46.4389, 'yellow floral': 46.4389}","{'very weak': 34, 'weak': 50, 'moderate': 201, 'long lasting': 316, 'eternal': 187}","{'intimate': 75, 'moderate': 301, 'strong': 352, 'enormous': 180}","{'female': 210, 'more female': 92, 'unisex': 118, 'more male': 6, 'male': 6}",,83.1845,23.2143,14.2857,100.0,58.3333,78.4226,"2,035",3.88,"['Yellow Plum', 'Mirabelle', 'Blood Mandarin', 'Bergamot']","['Ylang-Ylang', 'White Peach', 'Turkish Rose', 'Indian Jasmine']","['Patchouli', 'Benzoin', 'Amber', 'Vanilla', 'Sandalwood', 'Cedar']"
Must de Cartier Pour Homme Cartier for men,"{'warm spicy': 80.4208, 'woody': 71.3411, 'citrus': 63.7649, 'cinnamon': 62.7353, 'anis': 61.3765, 'aromatic': 60.2852, 'soft spicy': 60.1208, 'vanilla': 52.4617, 'sweet': 52.153, 'powdery': 52.153}","{'very weak': 6, 'weak': 13, 'moderate': 126, 'long lasting': 55, 'eternal': 23}","{'intimate': 48, 'moderate': 114, 'strong': 61, 'enormous': 39}","{'female': 2, 'more female': 0, 'unisex': 16, 'more male': 31, 'male': 44}","{'way overpriced': 2, 'overpriced': 17, 'ok': 41, 'good value': 12, 'great value': 4}",78.022,63.7363,24.7253,100.0,84.0659,87.9121,530,4.26,"['Anise', 'Olive Leaf', 'Green Mandarin', 'Carnation', 'Grapefruit', 'Coriander', 'Bergamot']","['Cinnamon', 'Ginger']","['Vanilla', 'Sandalwood', 'Tonka Bean', 'Musk', 'Cedar', 'Vetiver', 'Patchouli']"
Noir Patchouli Histoires de Parfums for women and men,"{'patchouli': 91.872, 'warm spicy': 84.0429, 'aromatic': 82.616, 'woody': 76.1137, 'leather': 65.8292, 'floral': 61.8482, 'musky': 58.0001, 'earthy': 57.8341, 'animalic': 53.2395, 'balsamic': 53.2395}","{'very weak': 20, 'weak': 21, 'moderate': 74, 'long lasting': 152, 'eternal': 87}","{'intimate': 32, 'moderate': 133, 'strong': 157, 'enormous': 78}","{'female': 7, 'more female': 14, 'unisex': 125, 'more male': 31, 'male': 30}",,83.3333,40.873,22.619,100.0,63.8889,83.3333,918,3.78,"['Patchouli', 'Cardamom', 'Coriander']","['Patchouli', 'Floral Notes', 'Juniper Berries']","['Patchouli', 'Leather', 'Musk', 'Vanilla']"
Baby Doll Yves Saint Laurent for women,"{'fruity': 65.8104, 'rose': 65.7498, 'floral': 64.1309, 'sweet': 54.9586, 'woody': 53.2171, 'citrus': 51.3041, 'fresh': 49.4912, 'vanilla': 44.9245, 'tropical': 44.9119, 'green': 44.9119}","{'very weak': 33, 'weak': 140, 'moderate': 448, 'long lasting': 199, 'eternal': 56}","{'intimate': 149, 'moderate': 555, 'strong': 200, 'enormous': 117}","{'female': 260, 'more female': 21, 'unisex': 3, 'more male': 1, 'male': 0}","{'way overpriced': 10, 'overpriced': 41, 'ok': 143, 'good value': 39, 'great value': 8}",19.9515,81.5832,66.3166,23.5057,100.0,25.1212,"3,849",3.81,"['Black Currant', 'Pineapple', 'Orange', 'Apple']","['Rose', 'Freesia', 'Heliotrope', 'Lily-of-the-Valley']","['Vanilla', 'Cedar', 'Sandalwood', 'Tonka Bean']"
Angéliques Sous La Pluie Frederic Malle for women and men,"{'musky': 85.0238, 'aromatic': 75.1855, 'woody': 69.6111, 'powdery': 66.477, 'amber': 61.789, 'soft spicy': 59.0788, 'fresh spicy': 59.0788}","{'very weak': 196, 'weak': 116, 'moderate': 101, 'long lasting': 17, 'eternal': 20}","{'intimate': 303, 'moderate': 115, 'strong': 42, 'enormous': 81}","{'female': 10, 'more female': 22, 'unisex': 167, 'more male': 32, 'male': 13}",,18.9024,91.1585,76.2195,41.1585,100.0,14.3293,"1,143",4.07,,"['Angelica', 'Juniper', 'Pink Pepper', 'Cedar', 'Coriander', 'Musk']",
Hot Couture Givenchy for women,"{'fruity': 94.3851, 'fresh spicy': 83.7874, 'sweet': 80.7349, 'woody': 64.846, 'citrus': 64.7346, 'aromatic': 62.8663, 'warm spicy': 57.0964, 'powdery': 54.9776, 'floral': 51.6647, 'amber': 51.6647}","{'very weak': 57, 'weak': 95, 'moderate': 444, 'long lasting': 490, 'eternal': 286}","{'intimate': 141, 'moderate': 633, 'strong': 548, 'enormous': 288}","{'female': 396, 'more female': 90, 'unisex': 35, 'more male': 4, 'male': 4}","{'way overpriced': 21, 'overpriced': 68, 'ok': 248, 'good value': 87, 'great value': 26}",100.0,52.4656,31.1237,94.907,89.8141,97.7365,"4,989",4.1,"['Raspberry', 'Bergamot', 'Orange']","['Pepper', 'Vetiver', 'Magnolia']","['Sandalwood', 'Amber', 'Musk']"
Meteorites Guerlain for women,"{'powdery': 90.597, 'violet': 57.8606, 'iris': 54.5173, 'floral': 48.0397, 'vanilla': 46.3682, 'green': 46.3682}","{'very weak': 29, 'weak': 39, 'moderate': 39, 'long lasting': 15, 'eternal': 14}","{'intimate': 72, 'moderate': 61, 'strong': 45, 'enormous': 51}","{'female': 31, 'more female': 2, 'unisex': 1, 'more male': 0, 'male': 0}",,29.8851,78.1609,32.1839,41.954,100.0,24.1379,662,4.16,"['Iris', 'Green Notes']",['Violet'],['Heliotrope']
Une Fleur de Cassie Frederic Malle for women,"{'powdery': 92.1412, 'yellow floral': 70.7566, 'woody': 67.8633, 'floral': 59.0798, 'white floral': 55.4111, 'sweet': 55.2428, 'green': 51.3623, 'aromatic': 49.6325, 'fresh': 46.7022, 'vanilla': 46.7022}","{'very weak': 18, 'weak': 21, 'moderate': 96, 'long lasting': 133, 'eternal': 49}","{'intimate': 62, 'moderate': 154, 'strong': 129, 'enormous': 88}","{'female': 48, 'more female': 43, 'unisex': 57, 'more male': 2, 'male': 1}",,42.2414,100.0,47.4138,71.9828,97.8448,50.431,"1,019",3.96,,"['Mimosa', 'Sandalwood', 'Jasmine', 'Cassis', 'Vanilla', 'Rose', 'Aldehydes', 'Musk']",
Tendre Madeleine Les Senteurs Gourmandes for women and men,"{'vanilla': 91.4635, 'citrus': 77.8391, 'sweet': 75.756, 'almond': 70.1562, 'warm spicy': 69.3367, 'nutty': 52.8782, 'fruity': 50.0781, 'powdery': 50.0781}","{'intimate': 56, 'moderate': 77, 'strong': 36, 'enormous': 30}",,"{'female': 46, 'more female': 39, 'unisex': 30, 'more male': 3, 'male': 3}",,100.0,49.2308,19.2308,100.0,92.3077,49.2308,341,4.23,,"['Vanilla Sugar', 'Mexican Vanilla', 'Orange', 'Spicy Notes', 'Bitter Almond', 'Wheat']",
En Passant Frederic Malle for women,"{'floral': 84.6127, 'aquatic': 81.2614, 'fresh': 67.072, 'green': 54.8513, 'ozonic': 44.0001, 'soft spicy': 44.0001}","{'very weak': 106, 'weak': 243, 'moderate': 491, 'long lasting': 157, 'eternal': 41}","{'intimate': 410, 'moderate': 571, 'strong': 153, 'enormous': 134}","{'female': 391, 'more female': 218, 'unisex': 133, 'more male': 8, 'male': 0}",,9.72105,100.0,59.7633,13.7785,84.5309,12.426,"3,286",4.17,,"['Lilac', 'Watery Notes', 'Cucumber', 'Wheat', 'Petitgrain']",
J'Adore Extrait de Parfum Dior for women,"{'woody': 83.2051, 'yellow floral': 76.1539, 'rose': 56.6025, 'sweet': 49.1666, 'floral': 49.1666}","{'intimate': 15, 'moderate': 50, 'strong': 25, 'enormous': 24}",,"{'female': 17, 'more female': 1, 'unisex': 0, 'more male': 0, 'male': 0}",,68.5714,92.8571,47.1429,92.8571,100.0,84.2857,363,3.88,['Ylang-Ylang'],['Rose'],"['Sandalwood', 'Woodsy Notes']"
