name,accords,longevity,sillage,gender,price-value,winter,spring,summer,fall,day,night,votes,rating,top notes,middle notes,base notes
Dreams Masone for women,"{'citrus': 100.0, 'marine': 100.0, 'woody': 93.0, 'fruity': 86.0, 'fresh': 86.0, 'sweet': 75.5003, 'aromatic': 65.0, 'tropical': 58.0, 'salty': 51.0, 'aquatic': 51.0}",,"{'very weak': 0, 'weak': 0, 'moderate': 0, 'long lasting': 0, 'eternal': 0}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}",,,,,,,,,,,"['Citruses', 'Pineapple', 'Woody Notes', 'Sea Notes']",
Paradiso Inferno Woman Benetton for women,"{'woody': 98.3815, 'white floral': 91.6397, 'almond': 86.0539, 'sweet': 82.0086, 'vanilla': 78.1562, 'yellow floral': 70.6435, 'powdery': 66.984, 'nutty': 60.8202, 'fruity': 56.9671, 'lactonic': 56.9671}",,"{'very weak': 1, 'weak': 2, 'moderate': 7, 'long lasting': 2, 'eternal': 2}","{'female': 1, 'more female': 1, 'unisex': 2, 'more male': 0, 'male': 1}",,50.0,37.5,25.0,87.5,100.0,62.5,41,3.76,"['Ylang-Ylang', 'Neroli']","['Almond', 'Gardenia']","['Vanilla', 'Sandalwood']"
Mouse Cologne Roccobarocco for men,"{'citrus': 77.8333, 'woody': 71.2998, 'fresh spicy': 65.4667, 'aromatic': 63.4835, 'sweet': 58.0002, 'fruity': 53.3332, 'fresh': 53.3332, 'amber': 53.3332, 'aquatic': 49.1331, 'powdery': 49.1331}",,,"{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 1, 'male': 3}",,85.7143,100.0,71.4286,85.7143,71.4286,85.7143,22,4.27,"['Lemon', 'Yuzu', 'Tangerine', 'Pineapple']","['Water Notes', 'Lavender', 'Pepper', 'Rosemary', 'Star Anise']","['Sandalwood', 'Ambergris', 'Cedar', 'Patchouli', 'Musk']"
Benetroessere Resort Etro for women,"{'citrus': 81.1629, 'aromatic': 60.5647, 'green': 60.1495, 'fresh spicy': 59.7343, 'floral': 59.7343}",,,"{'female': 0, 'more female': 1, 'unisex': 0, 'more male': 0, 'male': 0}",,0.0,26.3158,57.8947,21.0526,100.0,10.5263,37,3.95,"['Grapefruit', 'Mint', 'Clary Sage']","['Magnolia', 'Jasmine', 'Lily-of-the-Valley']","['Patchouli', 'Musk']"
Aurora Aria Micaelangelo for women,"{'citrus': 80.9935, 'aromatic': 80.9935, 'fresh spicy': 76.3576, 'fruity': 71.7217, 'woody': 63.6094, 'rose': 57.8145, 'powdery': 56.6555, 'floral': 53.179, 'musky': 46.2252, 'soft spicy': 46.2252}",,"{'very weak': 0, 'weak': 0, 'moderate': 3, 'long lasting': 0, 'eternal': 0}","{'female': 0, 'more female': 1, 'unisex': 0, 'more male': 0, 'male': 0}",,50.0,0.0,50.0,100.0,50.0,50.0,4,4.25,"['Bergamot', 'Black Currant', 'Lemon']","['Geranium', 'Rose', 'Jasmine', 'Lily-of-the-Valley']","['Musk', 'Sandalwood']"
L'Eau Cheap and Chic Moschino for women,"{'floral': 86.5884, 'soft spicy': 84.121, 'sweet': 81.5594, 'anis': 75.5494, 'white floral': 67.4671, 'citrus': 62.1373, 'fruity': 57.2031, 'amber': 56.0645, 'powdery': 55.4315, 'animalic': 55.4315}","{'very weak': 13, 'weak': 24, 'moderate': 84, 'long lasting': 64, 'eternal': 23}","{'intimate': 39, 'moderate': 134, 'strong': 42, 'enormous': 34}","{'female': 35, 'more female': 14, 'unisex': 6, 'more male': 0, 'male': 0}","{'way overpriced': 2, 'overpriced': 4, 'ok': 16, 'good value': 15, 'great value': 5}",16.2455,73.6462,53.7906,30.6859,100.0,16.6065,787,3.9,"['Lily', 'Freesia', 'Gooseberry', 'Rose']","['Anise', 'Orange']","['Heliotrope', 'Ambergris', 'Vetiver']"
Python Uomo Trussardi for men,"{'woody': 79.8896, 'aromatic': 59.728, 'sweet': 59.2138, 'fruity': 53.1448, 'musky': 47.7444, 'green': 46.0214, 'vanilla': 44.7097, 'fresh spicy': 44.7097}","{'very weak': 10, 'weak': 13, 'moderate': 64, 'long lasting': 26, 'eternal': 7}","{'intimate': 29, 'moderate': 70, 'strong': 32, 'enormous': 16}","{'female': 0, 'more female': 0, 'unisex': 6, 'more male': 11, 'male': 21}",,11.5646,78.9116,87.7551,27.2109,100.0,26.5306,310,4.23,"['Fig Wood Bark', 'Tea']","['Cypress Leaf', 'Olive']","['Musk', 'Tonka Bean', 'Bourbon Vetiver', 'Teak Wood']"
Messages Mariella Burani for women,"{'lavender': 95.0, 'woody': 88.4997, 'aromatic': 79.4999, 'warm spicy': 77.8748, 'floral': 70.0, 'white floral': 63.7497, 'powdery': 61.4998, 'vanilla': 53.2502, 'sweet': 52.5, 'amber': 52.5}",,,"{'female': 4, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}",,54.5455,72.7273,54.5455,63.6364,100.0,63.6364,31,4.19,,"['Lavender', 'Tonka Bean', 'Sandalwood', 'Carnation', 'Virginia Cedar', 'Lily-of-the-Valley', 'Rose', 'Musk', 'Jasmine']",
Metal Jeans Women Versace for women,"{'floral': 73.2693, 'white floral': 56.0897, 'fresh': 53.077, 'fresh spicy': 50.8333, 'citrus': 50.5126, 'musky': 48.5896, 'amber': 48.0128, 'animalic': 46.218, 'green': 45.3845, 'powdery': 45.3845}","{'intimate': 0, 'moderate': 25, 'strong': 17, 'enormous': 2}",,"{'female': 11, 'more female': 1, 'unisex': 2, 'more male': 0, 'male': 1}",,42.1053,71.0526,42.1053,55.2632,100.0,39.4737,119,3.67,"['Lilac', 'Neroli', 'Freesia', 'Orange Blossom']","['Nutmeg', 'Jasmine', 'Rose']","['Musk', 'Ambergris', 'Vanilla']"
BLV Pour Homme Bvlgari for men,"{'warm spicy': 72.8846, 'aromatic': 68.884, 'woody': 51.9442, 'fresh spicy': 49.6676, 'green': 49.6676, 'white floral': 44.8669, 'fresh': 51.9442}","{'very weak': 51, 'weak': 108, 'moderate': 450, 'long lasting': 384, 'eternal': 62}","{'intimate': 174, 'moderate': 677, 'strong': 222, 'enormous': 110}","{'female': 1, 'more female': 5, 'unisex': 117, 'more male': 169, 'male': 179}",,38.5827,85.2362,74.5079,57.3819,100.0,49.0157,"2,356",4.04,"['Cardamom', 'Sandalwood']","['Ginger', 'Juniper', 'Galanga']","['Tobacco Blossom', 'Green Leaves', 'Teak Wood']"
Versus Time For Relax Versace for women and men,"{'floral': 54.7187, 'green': 50.1249, 'woody': 50.1249}","{'intimate': 7, 'moderate': 11, 'strong': 13, 'enormous': 5}",,"{'female': 5, 'more female': 1, 'unisex': 7, 'more male': 0, 'male': 0}",,17.3913,67.3913,82.6087,19.5652,100.0,10.8696,102,4.07,"['Apple Blossom', 'Freesia', 'Hawthorn']",['Avocado'],"['Virginia Cedar', 'Sandalwood', 'Amber']"
Ferrari No 1 Ferrari for men,"{'woody': 96.5159, 'citrus': 77.8283, 'fresh spicy': 55.6562, 'aromatic': 52.1721, 'mossy': 50.113, 'powdery': 49.7964, 'conifer': 49.0046, 'white floral': 45.5205, 'earthy': 45.5205}",,,"{'female': 0, 'more female': 0, 'unisex': 1, 'more male': 2, 'male': 0}",,21.0526,57.8947,68.4211,26.3158,100.0,31.5789,44,3.73,"['Lime', 'Mandarin Orange', 'Fir Resin', 'Bergamot']","['Nutmeg', 'Jasmine']","['Sandalwood', 'Oakmoss', 'Cedar', 'Amber']"
La Carezza d’Amore Borghese for women,"{'floral': 94.6151, 'patchouli': 77.3848, 'warm spicy': 70.9232, 'woody': 66.6155, 'green': 58.0001, 'sweet': 55.8462, 'earthy': 52.6152, 'citrus': 51.5385, 'amber': 51.5385, 'rose': 51.5385}",,"{'very weak': 0, 'weak': 0, 'moderate': 0, 'long lasting': 1, 'eternal': 0}","{'female': 1, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}",,100.0,100.0,0.0,100.0,0.0,100.0,4,5.0,,"['Patchouli', 'Clover', 'Carnation', 'Peach', 'Bergamot', 'Rose', 'Amber']",
Versus Time For Energy Versace for women and men,"{'citrus': 81.4406, 'green': 52.9661, 'fresh spicy': 50.4237, 'woody': 46.4407, 'aromatic': 46.4407}","{'intimate': 3, 'moderate': 13, 'strong': 13, 'enormous': 8}",{},"{'female': 1, 'more female': 1, 'unisex': 3, 'more male': 0, 'male': 0}",,4.54545,84.0909,84.0909,13.6364,100.0,15.9091,99,3.62,"['Green Tea', 'Mandarin Orange']","['Lemon Tree', 'Yuzu', 'Mint']","['Oakmoss', 'Cedar', 'Amber']"
Alessandro Dell' Acqua Alessandro Dell' Acqua for women,"{'floral': 91.224, 'rose': 85.4029, 'aromatic': 81.3916, 'musky': 72.5852, 'fresh spicy': 70.2026, 'amber': 60.612, 'powdery': 58.9229, 'woody': 55.0779, 'warm spicy': 52.9361, 'sweet': 52.9361}","{'very weak': 9, 'weak': 8, 'moderate': 39, 'long lasting': 47, 'eternal': 18}","{'intimate': 24, 'moderate': 55, 'strong': 43, 'enormous': 18}","{'female': 23, 'more female': 9, 'unisex': 9, 'more male': 0, 'male': 0}",,36.6412,67.9389,54.9618,56.4885,100.0,42.7481,422,4.18,"['Geranium', 'Sweet Pea', 'Pelargonium', 'Coriander']","['Rose', 'Peony', 'Hibiscus Blossom']","['Musk', 'Incense', 'Sandalwood', 'Labdanum']"
Woman GianMarco Venturi for women,"{'floral': 69.1078, 'citrus': 55.6165, 'powdery': 49.1182, 'fresh spicy': 49.1182}","{'intimate': 64, 'moderate': 229, 'strong': 192, 'enormous': 74}",,"{'female': 135, 'more female': 34, 'unisex': 22, 'more male': 2, 'male': 2}",,26.43,93.8856,68.4418,36.8836,100.0,15.9763,"1,240",3.74,"['Freesia', 'Grapefruit', 'Bergamot']","['White Lotus', 'Floral Notes', 'Iris', 'Hawthorn']","['Heliotrope', 'Musk']"
Via Condotti Pour Homme Lancetti for men,"{'fruity': 82.4999, 'rose': 72.683, 'musky': 71.8295, 'powdery': 69.2684, 'sweet': 56.8904, 'floral': 55.6099, 'white floral': 50.9147, 'vanilla': 47.9267, 'woody': 47.9267, 'aromatic': 47.9267}",,"{'very weak': 0, 'weak': 3, 'moderate': 3, 'long lasting': 2, 'eternal': 3}","{'female': 0, 'more female': 0, 'unisex': 2, 'more male': 0, 'male': 4}",,42.8571,85.7143,42.8571,100.0,71.4286,71.4286,14,4.36,"['Fruity Notes', 'Mandarin Orange']","['Rose', 'Heliotrope', 'Lily-of-the-Valley']","['Musk', 'Vetiver', 'Benzoin', 'Vanilla']"
Interactive pour Homme Police for men,"{'woody': 83.8462, 'fresh spicy': 69.0382, 'powdery': 69.0382, 'ozonic': 67.6924, 'fresh': 64.9997, 'yellow floral': 64.9997, 'floral': 59.6155, 'green': 56.9228, 'white floral': 56.9228, 'rose': 56.9228}",,,"{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 3}",,0.0,66.6667,100.0,66.6667,100.0,33.3333,4,4.5,"['Geranium', 'Ivy', 'Violet Leaf']","['Peony', 'Honeysuckle', 'Ylang-Ylang', 'Nutmeg']","['Cedar', 'Sandalwood', 'White Musk', 'Amber']"
Aurora Fuoco Micaelangelo for women,"{'white floral': 82.9604, 'woody': 72.3684, 'aromatic': 66.8422, 'musky': 62.2369, 'fruity': 62.2369, 'powdery': 53.4867, 'citrus': 53.0262, 'earthy': 52.1053, 'sweet': 49.3422, 'fresh spicy': 49.3422}",,"{'very weak': 1, 'weak': 0, 'moderate': 0, 'long lasting': 0, 'eternal': 0}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}",,,,,,,,4,2.5,"['Peach', 'Petitgrain', 'Bergamot']","['Jasmine', 'Geranium', 'Rose', 'Ylang-Ylang']","['Musk', 'Vetiver', 'Cedar', 'Styrax', 'Oakmoss']"
Benetton Sport Women Benetton for women,"{'citrus': 87.8952, 'woody': 79.9735, 'fresh spicy': 76.6792, 'aromatic': 70.7191, 'green': 64.0562, 'white floral': 56.2085, 'powdery': 53.0621, 'fresh': 44.7697, 'herbal': 44.659, 'floral': 44.659}","{'intimate': 11, 'moderate': 19, 'strong': 7, 'enormous': 3}",{},"{'female': 7, 'more female': 6, 'unisex': 4, 'more male': 0, 'male': 0}",,7.14286,60.7143,85.7143,25.0,100.0,16.0714,137,3.7,"['Sicilian Bergamot', 'Mandarin Orange', 'Basil', 'Cassis']","['Lily-of-the-Valley', 'Jasmine', 'Rose']","['Virginia Cedar', 'Sandalwood', 'Amber', 'Musk']"
Trend Lei Les Copains for women,"{'warm spicy': 65.265, 'ozonic': 60.2272, 'aromatic': 56.515, 'white floral': 55.9847, 'aquatic': 52.2728, 'woody': 51.2122, 'patchouli': 50.1516, 'powdery': 45.9091, 'iris': 44.8484, 'earthy': 44.8484}",,"{'very weak': 0, 'weak': 0, 'moderate': 1, 'long lasting': 1, 'eternal': 0}","{'female': 1, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}",,0.0,60.0,60.0,0.0,100.0,0.0,17,3.47,"['Cardamom', 'Violet Leaf', 'Bergamot', 'Peach']","['Jasmine', 'Iris', 'Cinnamon', 'Lily-of-the-Valley']","['Patchouli', 'Vanille', 'Musk', 'Sandalwood']"
Byblos Uomo 2001 Byblos for men,"{'aquatic': 71.5027, 'ozonic': 52.9509, 'musky': 52.9509, 'fresh': 52.1859, 'fruity': 49.8907, 'aromatic': 45.3007, 'citrus': 44.9179, 'woody': 44.9179}",,,"{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 2}",,16.6667,50.0,66.6667,25.0,100.0,16.6667,19,4.21,"['Water Notes', 'Bergamot', 'Violet Leaf', 'Cardamom']","['Watermelon', 'Red Apple', 'Nutmeg']","['Musk', 'Vetiver', 'oak moss', 'Virginia Cedar']"
Yerbamate Lorenzo Villoresi for women and men,"{'green': 68.3358, 'aromatic': 54.31, 'woody': 53.6996, 'fresh spicy': 48.7585, 'fresh': 45.9435, 'powdery': 45.9435}","{'very weak': 11, 'weak': 24, 'moderate': 87, 'long lasting': 60, 'eternal': 12}","{'intimate': 38, 'moderate': 122, 'strong': 53, 'enormous': 31}","{'female': 4, 'more female': 9, 'unisex': 59, 'more male': 18, 'male': 5}",,11.4583,91.1458,78.6458,46.3542,100.0,18.75,635,4.0,"['Mate', 'Green Notes', 'Tea', 'Grass', 'Tarragon', 'Mint', 'Ylang-Ylang', 'Brazilian Rosewood', 'Citruses']","['Mate', 'Green Notes', 'Tea', 'Hay', 'Grass', 'Lavender']","['Powdery Notes', 'Green Notes', 'Tea', 'Galbanum', 'Vetiver', 'Oakmoss', 'Spices', 'Woody Notes', 'French labdanum', 'Patchouli']"
Via Sistina 67 Homme Renato Balestra for men,"{'green': 94.6356, 'fruity': 91.558, 'citrus': 88.0404, 'aromatic': 73.0904, 'woody': 65.6157, 'floral': 64.2966, 'fresh spicy': 56.3819, 'cinnamon': 51.1057, 'warm spicy': 48.4671, 'soft spicy': 48.4671}",,"{'very weak': 0, 'weak': 1, 'moderate': 8, 'long lasting': 6, 'eternal': 0}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 3, 'male': 2}",,11.1111,66.6667,100.0,27.7778,88.8889,27.7778,21,4.05,"['Black Currant', 'Mandarin Orange', 'Grapefruit', 'Artemisia', 'Basil', 'Mint', 'Bergamot']","['Galbanum', 'Cyclamen', 'Ceylon Cinnamon']",['Woody Notes']
