name,company,for_gender,rating,number_votes,main accords,top notes,middle notes,base notes,longevity,sillage,gender_vote,price value
Mismelis,L.T. Piver,for women,,,{},[],[],[],"{'very weak': 0, 'weak': 0, 'moderate': 0, 'long lasting': 0, 'eternal': 0}","{'intimate': 0, 'moderate': 0, 'strong': 0, 'enormous': 0}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 0, 'great value': 0}"
Chanel N°22,Chanel,for women,4.26,1208.0,"{'white floral': 100.0, 'fresh': 56.8187, 'aldehydic': 52.749, 'woody': 50.0371, 'yellow floral': 50.0358, 'iris': 49.3401, 'floral': 48.3279, 'powdery': 46.3347, 'fresh spicy': 45.806, 'sweet': 45.5625}","['Aldehydes', 'Neroli', 'Lily', 'Tuberose', 'Lily-of-the-Valley', 'Orange Blossom']","['Ylang-Ylang', 'Jasmine', 'White Rose', 'Nutmeg']","['iris', 'Vanilla', 'Vetiver']","{'very weak': 21, 'weak': 18, 'moderate': 72, 'long lasting': 91, 'eternal': 40}","{'intimate': 45, 'moderate': 124, 'strong': 119, 'enormous': 98}","{'female': 11, 'more female': 4, 'unisex': 6, 'more male': 0, 'male': 0}","{'way overpriced': 4, 'overpriced': 4, 'ok': 8, 'good value': 0, 'great value': 0}"
Les Exclusifs de Chanel No 22,Chanel,for women,4.25,967.0,"{'white floral': 100.0, 'aldehydic': 84.5151, 'fresh': 83.612, 'yellow floral': 67.2352, 'woody': 55.3111, 'rose': 53.9799, 'floral': 53.3668, 'soapy': 52.4972, 'sweet': 52.4526, 'vanilla': 49.175}","['Aldehydes', 'Neroli', 'Lily-of-the-Valley']","['Ylang-Ylang', 'Jasmine', 'Rose', 'Tuberose']","['Vanille', 'vetyver']","{'very weak': 14, 'weak': 11, 'moderate': 62, 'long lasting': 86, 'eternal': 32}","{'intimate': 31, 'moderate': 107, 'strong': 93, 'enormous': 73}","{'female': 6, 'more female': 1, 'unisex': 7, 'more male': 0, 'male': 1}","{'way overpriced': 0, 'overpriced': 3, 'ok': 5, 'good value': 2, 'great value': 0}"
Nuit de Noel,Caron,for women,4.3,687.0,"{'woody': 100.0, 'yellow floral': 75.5748, 'mossy': 70.234, 'rose': 69.8779, 'powdery': 68.5872, 'amber': 64.7151, 'earthy': 58.1638, 'musky': 57.06, 'sweet': 55.4934, 'white floral': 55.1017}","['Ylang-Ylang', 'tincture of rose', 'Jasmine']","['oak moss', 'Sandalwood']","['Amber', 'Musk']","{'very weak': 11, 'weak': 9, 'moderate': 47, 'long lasting': 51, 'eternal': 18}","{'intimate': 16, 'moderate': 96, 'strong': 53, 'enormous': 39}","{'female': 3, 'more female': 3, 'unisex': 1, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 1, 'ok': 2, 'good value': 0, 'great value': 0}"
Nuit de Noel Extrait de Parfum,Caron,for women,4.64,132.0,"{'woody': 100.0, 'mossy': 74.6309, 'amber': 72.8692, 'powdery': 72.5462, 'yellow floral': 71.6947, 'rose': 68.7584, 'musky': 62.2987, 'earthy': 61.2416, 'sweet': 54.0772, 'white floral': 52.9027}","['Ylang-Ylang', 'Rose', 'Jasmine']","['Oakmoss', 'Sandalwood']","['Amber', 'Musk']","{'very weak': 1, 'weak': 4, 'moderate': 9, 'long lasting': 14, 'eternal': 9}","{'intimate': 7, 'moderate': 23, 'strong': 14, 'enormous': 8}","{'female': 1, 'more female': 1, 'unisex': 5, 'more male': 0, 'male': 0}","{'way overpriced': 2, 'overpriced': 0, 'ok': 1, 'good value': 1, 'great value': 0}"
Bouquet de Faunes,Guerlain,for women,4.11,18.0,"{'musky': 100.0, 'leather': 95.8182, 'powdery': 80.3637, 'animalic': 80.2424, 'woody': 73.7697, 'aromatic': 69.0909, 'amber': 61.3939, 'floral': 58.2424, 'smoky': 57.6363, 'sweet': 56.9697}","['Suede', 'Jasmine', 'Neroli']","['Amber', 'Carnation', 'Jasmine', 'iris', 'Marjoram', 'Rose', 'Ylang-Ylang', 'Lavender', 'Violet', 'Geranium', 'Neroli', 'Brazilian Rosewood']","['Civetta', 'Castoreum', 'Leather', 'Musk', 'Amber', 'Tobacco', 'Vetiver', 'Tonka Bean', 'Patchouli', 'Costus', 'Vanilla']","{'very weak': 0, 'weak': 0, 'moderate': 2, 'long lasting': 1, 'eternal': 7}","{'intimate': 3, 'moderate': 3, 'strong': 2, 'enormous': 15}","{'female': 0, 'more female': 1, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 1, 'ok': 0, 'good value': 0, 'great value': 0}"
Candide Effluve,Guerlain,for women,4.42,24.0,"{'amber': 100.0, 'vanilla': 91.9231, 'powdery': 86.3528, 'floral': 71.5451, 'citrus': 64.6287, 'woody': 61.4722, 'sweet': 58.3156, 'yellow floral': 56.9231, 'aromatic': 56.5518, 'white floral': 55.0663}",[],"['Ylang-Ylang', 'Jasmine', 'Benzoin', 'Heliotrope', 'Vanille', 'Orris Root', 'Lilac', 'Angelica', 'Tonka Bean', 'Amalfi Lemon', 'Amber', 'Vetiver', 'Bergamot', 'Patchouli']",[],"{'very weak': 3, 'weak': 3, 'moderate': 1, 'long lasting': 1, 'eternal': 3}","{'intimate': 1, 'moderate': 4, 'strong': 5, 'enormous': 8}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 0, 'great value': 0}"
L'Orgie (Orgia),Myrurgia,for women,4.24,21.0,"{'fresh': 100.0, 'aldehydic': 86.6176, 'floral': 81.2132, 'musky': 76.3235, 'citrus': 72.9779, 'vanilla': 63.4559, 'mossy': 60.8823, 'woody': 59.8529, 'powdery': 57.7941, 'white floral': 55.7353}","['Aldehydes', 'Citruses']","['Floral Notes', 'Lily-of-the-Valley', 'Rose']","['Musk', 'Oakmoss', 'Tonka Bean', 'Woody Notes', 'Vanilla']","{'very weak': 1, 'weak': 0, 'moderate': 1, 'long lasting': 5, 'eternal': 3}","{'intimate': 2, 'moderate': 7, 'strong': 3, 'enormous': 8}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 0, 'great value': 0}"
Sparkling Diamond 22,Krigler,for women,3.06,18.0,"{'Champagne': 100.0, 'sweet': 99.1177, 'fruity': 91.7647, 'coconut': 85.8824, 'aldehydic': 80.0, 'musky': 65.2941, 'citrus': 60.0, 'lactonic': 49.5588, 'powdery': 47.6471, 'tropical': 46.7647}",[],"['Champagne', 'Big Strawberry', 'Coconut', 'Musk']",[],"{'very weak': 0, 'weak': 0, 'moderate': 2, 'long lasting': 2, 'eternal': 0}","{'intimate': 1, 'moderate': 4, 'strong': 4, 'enormous': 3}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 0, 'great value': 0}"
Padisha,Weil,for women,3.0,2.0,"{'warm spicy': 100.0, 'woody': 95.3333, 'amber': 76.6666, 'patchouli': 76.6666, 'citrus': 70.8334, 'lavender': 70.8334, 'vanilla': 70.8334, 'powdery': 68.5, 'aromatic': 68.2083, 'floral': 65.875}","['Neroli', 'Bergamot', 'Spicy Notes']","['Lavender', 'Carnation', 'Orange Blossom']","['Patchouli', 'Amber', 'Vanilla', 'Sandalwood']","{'very weak': 0, 'weak': 0, 'moderate': 0, 'long lasting': 0, 'eternal': 1}","{'intimate': 0, 'moderate': 2, 'strong': 0, 'enormous': 2}","{'female': 0, 'more female': 0, 'unisex': 1, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 1, 'good value': 0, 'great value': 0}"
