name,company,for_gender,rating,number_votes,main accords,top notes,middle notes,base notes,longevity,sillage,gender_vote,price value
Angels' Share,By Kilian,for women and men,4.31,682.0,"{'woody': 100.0, 'sweet': 92.6987, 'warm spicy': 89.4303, 'vanilla': 78.3058, 'cinnamon': 67.3313, 'amber': 52.084, 'powdery': 46.3568, 'lactonic': 44.7526, 'aromatic': 44.5877}",['Cognac'],"['Cinnamon', 'Tonka Bean', 'Oak']","['Praline', 'Vanilla', 'Sandalwood']","{'very weak': 21, 'weak': 17, 'moderate': 107, 'long lasting': 184, 'eternal': 78}","{'intimate': 40, 'moderate': 187, 'strong': 157, 'enormous': 79}","{'female': 40, 'more female': 39, 'unisex': 226, 'more male': 51, 'male': 20}","{'way overpriced': 64, 'overpriced': 143, 'ok': 98, 'good value': 27, 'great value': 11}"
My Way,Giorgio Armani,for women,3.5700000000000003,1471.0,"{'white floral': 100.0, 'citrus': 60.4322, 'tuberose': 59.0888, 'animalic': 46.7757}","['Orange Blossom', 'Bergamot']","['Tuberose', 'Indian Jasmine']","['White Musk', 'Madagascar Vanilla', 'Virginian Cedar']","{'very weak': 49, 'weak': 84, 'moderate': 200, 'long lasting': 216, 'eternal': 89}","{'intimate': 127, 'moderate': 322, 'strong': 251, 'enormous': 221}","{'female': 349, 'more female': 21, 'unisex': 4, 'more male': 0, 'male': 0}","{'way overpriced': 38, 'overpriced': 121, 'ok': 125, 'good value': 26, 'great value': 8}"
Libre Intense,Yves Saint Laurent,for women,4.02,858.0,"{'vanilla': 100.0, 'aromatic': 71.4216, 'sweet': 69.9134, 'white floral': 69.338, 'lavender': 69.1826, 'amber': 68.4051, 'citrus': 67.861, 'powdery': 48.7517, 'floral': 48.5651, 'fresh spicy': 47.8188}","['Lavender', 'Mandarin Orange', 'Bergamot']","['Lavender', 'Tunisian Orange Blossom', 'Jasmine Sambac', 'Orchid']","['Madagascar Vanilla', 'Tonka Bean', 'Ambergris', 'Vetiver']","{'very weak': 24, 'weak': 12, 'moderate': 103, 'long lasting': 212, 'eternal': 84}","{'intimate': 39, 'moderate': 155, 'strong': 237, 'enormous': 131}","{'female': 162, 'more female': 91, 'unisex': 70, 'more male': 8, 'male': 2}","{'way overpriced': 11, 'overpriced': 59, 'ok': 136, 'good value': 35, 'great value': 6}"
Dior Homme 2020,Christian Dior,for men,3.42,1402.0,"{'woody': 100.0, 'musky': 72.7229, 'amber': 53.4101, 'aromatic': 51.5617}","['Bergamot', 'Pink Pepper', 'elemi']","['Cashmere Wood', 'Atlas Cedar', 'Patchouli']","['Iso E Super', 'Haitian Vetiver', 'White Musk']","{'very weak': 125, 'weak': 83, 'moderate': 174, 'long lasting': 288, 'eternal': 77}","{'intimate': 214, 'moderate': 370, 'strong': 189, 'enormous': 151}","{'female': 3, 'more female': 1, 'unisex': 17, 'more male': 56, 'male': 199}","{'way overpriced': 31, 'overpriced': 59, 'ok': 134, 'good value': 33, 'great value': 3}"
Acqua di Giò Profondo,Giorgio Armani,for men,4.03,869.0,"{'aromatic': 100.0, 'marine': 93.2493, 'citrus': 79.7199, 'fresh spicy': 68.3193, 'woody': 67.7451, 'fresh': 62.493, 'mineral': 58.0112, 'musky': 45.126, 'salty': 44.902, 'patchouli': 44.4258}","['Sea Notes', 'Aquozone', 'Bergamot', 'Green Mandarin']","['Rosemary', 'Cypress', 'Lavender', 'Mastic or Lentisque']","['Mineral notes', 'Musk', 'Patchouli', 'Amber']","{'very weak': 59, 'weak': 66, 'moderate': 188, 'long lasting': 221, 'eternal': 35}","{'intimate': 115, 'moderate': 333, 'strong': 183, 'enormous': 106}","{'female': 3, 'more female': 0, 'unisex': 5, 'more male': 71, 'male': 151}","{'way overpriced': 32, 'overpriced': 84, 'ok': 80, 'good value': 21, 'great value': 4}"
Le Male Le Parfum,Jean Paul Gaultier,for men,4.26,690.0,"{'warm spicy': 100.0, 'vanilla': 72.2173, 'aromatic': 60.6231, 'lavender': 58.2483, 'amber': 58.2173, 'powdery': 56.8204, 'iris': 53.592, 'woody': 53.3437}",['Cardamom'],"['Lavender', 'iris']","['Vanilla', 'Oriental notes', 'Woodsy Notes']","{'very weak': 18, 'weak': 31, 'moderate': 129, 'long lasting': 252, 'eternal': 77}","{'intimate': 80, 'moderate': 262, 'strong': 175, 'enormous': 115}","{'female': 3, 'more female': 2, 'unisex': 39, 'more male': 132, 'male': 154}","{'way overpriced': 13, 'overpriced': 46, 'ok': 154, 'good value': 70, 'great value': 7}"
Beau De Jour Eau de Parfum,Tom Ford,for men,4.25,729.0,"{'aromatic': 100.0, 'fresh spicy': 94.7562, 'lavender': 68.1606, 'woody': 62.7869, 'patchouli': 56.0894, 'green': 56.0375, 'earthy': 54.0645, 'mossy': 49.4697, 'amber': 49.0803, 'herbal': 48.1717}","['Lavender Extract', 'Lavender']","['Rosemary', 'Oakmoss', 'Mint', 'Basil', 'Geranium']","['Patchouli', 'Amber']","{'very weak': 30, 'weak': 19, 'moderate': 88, 'long lasting': 203, 'eternal': 59}","{'intimate': 45, 'moderate': 190, 'strong': 194, 'enormous': 112}","{'female': 1, 'more female': 0, 'unisex': 15, 'more male': 25, 'male': 145}","{'way overpriced': 14, 'overpriced': 52, 'ok': 83, 'good value': 20, 'great value': 4}"
Angel Nova,Mugler,for women,3.54,814.0,"{'fruity': 100.0, 'rose': 65.8115, 'sweet': 61.6736, 'oud': 57.181, 'woody': 54.1609, 'tropical': 51.216, 'warm spicy': 49.3889, 'amber': 44.6169, 'fresh': 44.144}","['Raspberry', 'Litchi']",['Damask Rose'],"['Akigalawood', 'Benzoin']","{'very weak': 29, 'weak': 36, 'moderate': 112, 'long lasting': 153, 'eternal': 74}","{'intimate': 55, 'moderate': 167, 'strong': 203, 'enormous': 168}","{'female': 184, 'more female': 26, 'unisex': 9, 'more male': 4, 'male': 1}","{'way overpriced': 10, 'overpriced': 41, 'ok': 107, 'good value': 20, 'great value': 14}"
L'Interdit Eau de Parfum Intense,Givenchy,for women,4.08,596.0,"{'white floral': 100.0, 'vanilla': 83.8462, 'tuberose': 77.9933, 'patchouli': 60.6689, 'woody': 60.2007, 'aromatic': 57.0636, 'warm spicy': 54.9799, 'fresh spicy': 54.1137, 'earthy': 52.3813, 'animalic': 50.7191}",['Black Pepper'],"['Tuberose', 'Sesame', 'Orange Blossom']","['Madagascar Vanilla', 'Patchouli', 'Vetiver']","{'very weak': 14, 'weak': 19, 'moderate': 65, 'long lasting': 134, 'eternal': 49}","{'intimate': 36, 'moderate': 132, 'strong': 119, 'enormous': 122}","{'female': 122, 'more female': 24, 'unisex': 21, 'more male': 2, 'male': 1}","{'way overpriced': 10, 'overpriced': 26, 'ok': 77, 'good value': 21, 'great value': 6}"
L'Homme Idéal Extrême,Guerlain,for men,4.38,434.0,"{'fruity': 100.0, 'sweet': 92.2085, 'almond': 90.6687, 'tobacco': 69.4193, 'leather': 66.6476, 'nutty': 60.4884, 'warm spicy': 60.1804, 'cinnamon': 57.7167, 'woody': 52.3889, 'powdery': 49.1861}","['Almond', 'Pink Pepper', 'Bergamot']","['Plum', 'Cinnamon', 'Heliotrope']","['Tobacco', 'Leather', 'Patchouli', 'Cedar']","{'very weak': 19, 'weak': 33, 'moderate': 87, 'long lasting': 127, 'eternal': 45}","{'intimate': 42, 'moderate': 174, 'strong': 122, 'enormous': 87}","{'female': 6, 'more female': 1, 'unisex': 16, 'more male': 77, 'male': 85}","{'way overpriced': 5, 'overpriced': 25, 'ok': 76, 'good value': 57, 'great value': 6}"
Bitter Peach,Tom Ford,for women and men,3.54,429.0,"{'woody': 100.0, 'warm spicy': 77.6476, 'fruity': 73.896, 'amber': 72.1213, 'powdery': 66.5725, 'sweet': 65.2696, 'vanilla': 63.8767, 'balsamic': 56.8453, 'citrus': 56.2837, 'aromatic': 56.1265}","['Peach', 'Blood Orange', 'Cardamom', 'Heliotrope']","['Rum', 'Cognac', 'Davana', 'Jasmine']","['Indonesian Patchouli Leaf', 'Sandalwood', 'Vanilla', 'Tonka Bean', 'Cashmeran', 'Benzoin', 'Labdanum', 'Styrax', 'Vetiver']","{'very weak': 18, 'weak': 33, 'moderate': 70, 'long lasting': 94, 'eternal': 46}","{'intimate': 49, 'moderate': 136, 'strong': 94, 'enormous': 85}","{'female': 68, 'more female': 51, 'unisex': 58, 'more male': 4, 'male': 3}","{'way overpriced': 115, 'overpriced': 52, 'ok': 20, 'good value': 9, 'great value': 5}"
Narciso Eau de Parfum Ambrée,Narciso Rodriguez,for women,3.84,750.0,"{'musky': 100.0, 'powdery': 87.407, 'woody': 86.9365, 'floral': 86.5426, 'amber': 74.5952, 'yellow floral': 72.4508, 'tropical': 71.8381, 'white floral': 63.2604, 'sweet': 60.4814, 'vanilla': 52.5383}","['Frangipani', 'Ylang-Ylang', 'White Flowers']","['Musk', 'Amber']","['Cashmeran', 'Vanilla', 'Cedar']","{'very weak': 28, 'weak': 57, 'moderate': 122, 'long lasting': 62, 'eternal': 44}","{'intimate': 86, 'moderate': 171, 'strong': 110, 'enormous': 140}","{'female': 110, 'more female': 15, 'unisex': 3, 'more male': 0, 'male': 0}","{'way overpriced': 6, 'overpriced': 21, 'ok': 67, 'good value': 15, 'great value': 2}"
La Nuit Tresor Nude,Lancome,for women,4.05,583.0,"{'vanilla': 100.0, 'coconut': 85.9852, 'sweet': 63.035, 'citrus': 52.0233, 'rose': 51.5042, 'lactonic': 49.5948, 'powdery': 48.0561, 'tropical': 46.7956}",['Bergamot'],['Rose'],"['Coconut', 'Vanila']","{'very weak': 31, 'weak': 22, 'moderate': 112, 'long lasting': 81, 'eternal': 34}","{'intimate': 75, 'moderate': 150, 'strong': 112, 'enormous': 117}","{'female': 109, 'more female': 7, 'unisex': 1, 'more male': 0, 'male': 0}","{'way overpriced': 7, 'overpriced': 23, 'ok': 68, 'good value': 12, 'great value': 4}"
The Only One Eau de Parfum Intense,Dolce&Gabbana,for women,4.12,562.0,"{'white floral': 100.0, 'vanilla': 75.2123, 'woody': 65.9461, 'citrus': 64.2808, 'coconut': 59.2466, 'sweet': 57.7603, 'fresh': 45.8858}","['Neroli', 'Green Apple', 'Italian Mandarin']","['Jasmine', 'Coconut', 'Orange Blossom']","['Vanilla', 'Cashmere Wood', 'Cedar']","{'very weak': 20, 'weak': 24, 'moderate': 89, 'long lasting': 96, 'eternal': 39}","{'intimate': 47, 'moderate': 156, 'strong': 99, 'enormous': 81}","{'female': 106, 'more female': 27, 'unisex': 11, 'more male': 5, 'male': 2}","{'way overpriced': 5, 'overpriced': 17, 'ok': 74, 'good value': 19, 'great value': 6}"
Black Orchid Parfum,Tom Ford,for women and men,4.26,452.0,"{'earthy': 100.0, 'sweet': 98.1833, 'woody': 90.1842, 'yellow floral': 80.6907, 'fruity': 72.7794, 'patchouli': 72.4864, 'rum': 68.4429, 'floral': 64.1942, 'warm spicy': 60.8539, 'animalic': 47.6685}","['Truffle', 'Plum']","['Ylang-Ylang', 'Rum', 'Black Orchid']",['Patchouli'],"{'very weak': 17, 'weak': 10, 'moderate': 25, 'long lasting': 106, 'eternal': 115}","{'intimate': 32, 'moderate': 75, 'strong': 128, 'enormous': 138}","{'female': 17, 'more female': 40, 'unisex': 110, 'more male': 8, 'male': 6}","{'way overpriced': 17, 'overpriced': 42, 'ok': 52, 'good value': 14, 'great value': 12}"
La Vie Est Belle Intensément,Lancome,for women,4.04,693.0,"{'vanilla': 100.0, 'powdery': 87.6849, 'sweet': 77.2545, 'fruity': 74.5487, 'woody': 59.1565, 'white floral': 57.4146, 'warm spicy': 55.4584, 'amber': 54.9872, 'iris': 54.9872, 'balsamic': 48.5334}","['Raspberry', 'Pink Pepper', 'Bergamot']","['Heliotrope', 'Jasmine Sambac', 'Orange Blossom']","['Vanilla', 'iris', 'Benzoin', 'Sandalwood', 'Patchouli']","{'very weak': 22, 'weak': 26, 'moderate': 84, 'long lasting': 124, 'eternal': 68}","{'intimate': 58, 'moderate': 156, 'strong': 159, 'enormous': 148}","{'female': 123, 'more female': 8, 'unisex': 2, 'more male': 0, 'male': 1}","{'way overpriced': 4, 'overpriced': 28, 'ok': 70, 'good value': 14, 'great value': 9}"
Miss Dior Rose N'Roses,Christian Dior,for women,3.59,905.0,"{'rose': 100.0, 'musky': 73.75, 'fresh spicy': 70.5, 'citrus': 64.1875, 'aromatic': 60.8, 'powdery': 53.475, 'floral': 48.525}","['Geranium', 'Bergamot', 'Italian Mandarin']","['Grasse Rose', 'Damask Rose']",['White Musk'],"{'very weak': 41, 'weak': 48, 'moderate': 120, 'long lasting': 49, 'eternal': 35}","{'intimate': 91, 'moderate': 173, 'strong': 81, 'enormous': 105}","{'female': 103, 'more female': 5, 'unisex': 6, 'more male': 0, 'male': 0}","{'way overpriced': 12, 'overpriced': 33, 'ok': 38, 'good value': 5, 'great value': 4}"
1 Million Parfum,Paco Rabanne,for men,3.9,561.0,"{'white floral': 100.0, 'amber': 93.1877, 'tuberose': 86.0741, 'animalic': 80.7216, 'woody': 71.7312, 'salty': 61.9762, 'tropical': 58.7322, 'leather': 56.6468, 'musky': 51.9431, 'coconut': 51.5492}",[],"['Tuberose', 'Monoi Oil', 'Salt', 'Ambergris', 'Solar notes', 'Leather', 'Cashmeran', 'Pine', 'Labdanum']",[],"{'very weak': 20, 'weak': 23, 'moderate': 61, 'long lasting': 183, 'eternal': 124}","{'intimate': 45, 'moderate': 125, 'strong': 206, 'enormous': 128}","{'female': 2, 'more female': 7, 'unisex': 70, 'more male': 58, 'male': 55}","{'way overpriced': 8, 'overpriced': 29, 'ok': 82, 'good value': 32, 'great value': 4}"
Voce Viva,Valentino,for women,3.38,666.0,"{'citrus': 100.0, 'white floral': 86.0863, 'vanilla': 83.8367, 'sweet': 61.7103, 'powdery': 55.47, 'warm spicy': 53.436, 'musky': 45.1002, 'aromatic': 44.3605}","['Mandarin Orange', 'Bergamot', 'Ginger']","['Orange Blossom', 'Gardenia']","['Vanilla', 'Tonka Bean', 'Musk', 'Sandalwood', 'Oakmoss']","{'very weak': 29, 'weak': 37, 'moderate': 129, 'long lasting': 54, 'eternal': 25}","{'intimate': 83, 'moderate': 148, 'strong': 91, 'enormous': 80}","{'female': 180, 'more female': 15, 'unisex': 8, 'more male': 1, 'male': 1}","{'way overpriced': 39, 'overpriced': 70, 'ok': 59, 'good value': 16, 'great value': 5}"
Le Lion de Chanel,Chanel,for women and men,4.19,297.0,"{'amber': 100.0, 'woody': 72.5709, 'musky': 63.5603, 'powdery': 61.016, 'citrus': 56.0638, 'vanilla': 51.5957, 'balsamic': 50.2181, 'patchouli': 48.8653, 'warm spicy': 46.8794}","['Lemon', 'Bergamot']","['Labdanum', 'Amber']","['Madagascar Vanilla', 'Patchouli', 'Sandalwood', 'Musk']","{'very weak': 12, 'weak': 8, 'moderate': 27, 'long lasting': 104, 'eternal': 48}","{'intimate': 22, 'moderate': 92, 'strong': 109, 'enormous': 57}","{'female': 10, 'more female': 10, 'unisex': 102, 'more male': 32, 'male': 18}","{'way overpriced': 15, 'overpriced': 41, 'ok': 69, 'good value': 10, 'great value': 4}"
Irresistible Givenchy,Givenchy,for women,3.59,651.0,"{'musky': 100.0, 'fruity': 79.7845, 'rose': 75.9549, 'powdery': 71.2666, 'floral': 68.5975, 'sweet': 67.2745, 'iris': 59.4761, 'aquatic': 56.5517, 'woody': 51.6777, 'fresh': 49.9138}","['Pear', 'Ambrette (Musk Mallow)']","['Rose', 'iris']","['Musk', 'Virginia Cedar']","{'very weak': 30, 'weak': 38, 'moderate': 90, 'long lasting': 70, 'eternal': 35}","{'intimate': 56, 'moderate': 156, 'strong': 113, 'enormous': 119}","{'female': 130, 'more female': 4, 'unisex': 3, 'more male': 0, 'male': 0}","{'way overpriced': 8, 'overpriced': 43, 'ok': 52, 'good value': 11, 'great value': 3}"
Rose Prick,Tom Ford,for women and men,3.56,518.0,"{'warm spicy': 100.0, 'rose': 91.6477, 'patchouli': 72.2585, 'fresh spicy': 68.4801, 'earthy': 59.6555, 'woody': 55.3551, 'citrus': 54.4602, 'vanilla': 52.2727, 'floral': 48.4943, 'herbal': 47.1023}","['Sichuan Pepper', 'Turmeric']","['May Rose', 'Bulgarian Rose', 'Turkish Rose']","['Patchouli', 'Tonka Bean']","{'very weak': 22, 'weak': 31, 'moderate': 69, 'long lasting': 65, 'eternal': 44}","{'intimate': 69, 'moderate': 129, 'strong': 118, 'enormous': 124}","{'female': 34, 'more female': 19, 'unisex': 35, 'more male': 3, 'male': 2}","{'way overpriced': 49, 'overpriced': 22, 'ok': 9, 'good value': 0, 'great value': 2}"
So Scandal!,Jean Paul Gaultier,for women,3.88,415.0,"{'white floral': 100.0, 'fruity': 69.8104, 'sweet': 66.2214, 'tuberose': 66.0405, 'lactonic': 50.629, 'animalic': 45.9016}",[],"['Raspberry', 'Tuberose', 'Milk', 'Jasmine Sambac', 'Orange Blossom']",[],"{'very weak': 15, 'weak': 23, 'moderate': 59, 'long lasting': 88, 'eternal': 32}","{'intimate': 33, 'moderate': 84, 'strong': 105, 'enormous': 97}","{'female': 79, 'more female': 4, 'unisex': 2, 'more male': 0, 'male': 3}","{'way overpriced': 3, 'overpriced': 22, 'ok': 38, 'good value': 14, 'great value': 4}"
Idôle L'Intense,Lancome,for women,3.79,408.0,"{'woody': 100.0, 'rose': 87.0767, 'musky': 85.7795, 'floral': 85.066, 'white floral': 75.4019, 'citrus': 72.7427, 'powdery': 71.186, 'patchouli': 54.971, 'vanilla': 52.0523, 'balsamic': 51.7605}","['Bitter Orange', 'Mandarin Orange']","['Turkish Rose', 'Grasse Rose', 'Egyptian Jasmine', 'Jasmine Sambac', 'Jasmine', 'Musk']","['Acácia', 'Cashmere Wood', 'Patchouli', 'Madagascar Vanilla', 'Cedar', 'Sandalwood']","{'very weak': 10, 'weak': 13, 'moderate': 65, 'long lasting': 91, 'eternal': 33}","{'intimate': 26, 'moderate': 81, 'strong': 120, 'enormous': 80}","{'female': 129, 'more female': 10, 'unisex': 5, 'more male': 2, 'male': 0}","{'way overpriced': 11, 'overpriced': 29, 'ok': 68, 'good value': 9, 'great value': 2}"
Pasha de Cartier Parfum,Cartier,for men,4.44,339.0,"{'woody': 100.0, 'amber': 89.0155, 'warm spicy': 60.688, 'balsamic': 52.5211, 'aromatic': 52.2736, 'vanilla': 49.5227, 'alcohol': 47.7237, 'fresh spicy': 46.2578, 'patchouli': 45.0394}",[],"['Sandalwood', 'Liquor', 'Balsam Fir', 'Tonka Bean', 'Benzoin', 'Ambrocenide', 'Indonesian Patchouli Leaf', 'Labdanum']",[],"{'very weak': 12, 'weak': 12, 'moderate': 33, 'long lasting': 128, 'eternal': 45}","{'intimate': 28, 'moderate': 125, 'strong': 133, 'enormous': 55}","{'female': 2, 'more female': 1, 'unisex': 11, 'more male': 43, 'male': 74}","{'way overpriced': 1, 'overpriced': 13, 'ok': 46, 'good value': 44, 'great value': 10}"
Eros Eau De Parfum,Versace,for men,4.18,266.0,"{'aromatic': 100.0, 'citrus': 93.2746, 'green': 79.2069, 'woody': 78.3314, 'vanilla': 74.1728, 'fresh spicy': 70.631, 'amber': 59.4485, 'fruity': 58.4536, 'powdery': 56.8618, 'leather': 52.6038}","['Mint', 'Candy Apple', 'Lemon', 'Mandarin Orange']","['Ambroxan', 'Geranium', 'Clary Sage']","['Vanilla', 'Leather', 'Sandalwood', 'Cedar', 'Bitter Orange', 'Patchouli']","{'very weak': 21, 'weak': 13, 'moderate': 36, 'long lasting': 111, 'eternal': 33}","{'intimate': 35, 'moderate': 69, 'strong': 106, 'enormous': 47}","{'female': 0, 'more female': 1, 'unisex': 8, 'more male': 32, 'male': 85}","{'way overpriced': 7, 'overpriced': 18, 'ok': 61, 'good value': 26, 'great value': 8}"
Nomade Absolu de Parfum,Chloé,for women,4.01,466.0,"{'mossy': 100.0, 'woody': 95.625, 'fruity': 80.5312, 'aromatic': 80.1375, 'earthy': 79.0, 'powdery': 70.9063, 'green': 70.6, 'musky': 67.1875, 'sweet': 62.5938, 'balsamic': 59.225}",['Mirabelle'],"['Oakmoss', 'Davana']","['Sandalwood', 'Musk']","{'very weak': 17, 'weak': 23, 'moderate': 62, 'long lasting': 62, 'eternal': 28}","{'intimate': 42, 'moderate': 109, 'strong': 77, 'enormous': 89}","{'female': 33, 'more female': 15, 'unisex': 16, 'more male': 3, 'male': 1}","{'way overpriced': 1, 'overpriced': 8, 'ok': 29, 'good value': 14, 'great value': 4}"
Interlude Black Iris Man,Amouage,for men,4.22,332.0,"{'amber': 100.0, 'woody': 73.5617, 'iris': 64.6343, 'powdery': 63.0854, 'fresh spicy': 59.7941, 'warm spicy': 56.5243, 'leather': 56.2446, 'oud': 52.3724, 'aromatic': 52.0713, 'balsamic': 51.4754}","['Violet Leaf', 'Rosemary', 'Bergamot']","['Orris', 'Olibanum', 'Myrhh', 'Vanilla', 'Labdanum', 'Amber']","['Leather', 'Agarwood (Oud)', 'Sandalwood', 'Patchouli', 'Cedar']","{'very weak': 13, 'weak': 10, 'moderate': 25, 'long lasting': 72, 'eternal': 104}","{'intimate': 28, 'moderate': 63, 'strong': 106, 'enormous': 128}","{'female': 3, 'more female': 0, 'unisex': 14, 'more male': 31, 'male': 58}","{'way overpriced': 20, 'overpriced': 24, 'ok': 31, 'good value': 9, 'great value': 8}"
J'Adore Infinissime,Christian Dior,for women,3.85,380.0,"{'white floral': 100.0, 'tuberose': 70.9471, 'yellow floral': 55.1532, 'woody': 54.1393, 'sweet': 44.273}","['Blood Orange', 'Bergamot', 'Pink Pepper']","['Tuberose', 'Jasmine Sambac', 'Ylang-Ylang', 'Lily-of-the-Valley', 'Rose']",['Sandalwood'],"{'very weak': 23, 'weak': 22, 'moderate': 62, 'long lasting': 47, 'eternal': 17}","{'intimate': 40, 'moderate': 88, 'strong': 59, 'enormous': 60}","{'female': 99, 'more female': 7, 'unisex': 5, 'more male': 1, 'male': 2}","{'way overpriced': 16, 'overpriced': 45, 'ok': 24, 'good value': 8, 'great value': 0}"
Angel Eau Croisière 2020,Mugler,for women,4.22,375.0,"{'sweet': 100.0, 'fruity': 79.8637, 'woody': 65.1934, 'patchouli': 58.361, 'floral': 57.8453, 'vanilla': 55.7827, 'lactonic': 45.7687, 'warm spicy': 44.1805}",[],"['Fig Nectar', 'Praline', 'Patchouli', 'Magnolia', 'Vanilla']",[],"{'very weak': 19, 'weak': 25, 'moderate': 81, 'long lasting': 33, 'eternal': 31}","{'intimate': 37, 'moderate': 106, 'strong': 85, 'enormous': 86}","{'female': 34, 'more female': 16, 'unisex': 10, 'more male': 0, 'male': 1}","{'way overpriced': 1, 'overpriced': 6, 'ok': 30, 'good value': 16, 'great value': 2}"
R.E.M.,Ariana Grande,for women,3.87,348.0,"{'sweet': 100.0, 'powdery': 59.1033, 'fruity': 58.1298, 'caramel': 56.2948, 'lavender': 55.9591, 'salty': 44.769800000000004, 'aromatic': 44.132}","['Zefir', 'Caramel', 'Fig', 'Salt', 'Quince']","['Lavender', 'Pear Blossom']","['Tonka Bean', 'Musk', 'Sandalwood']","{'very weak': 31, 'weak': 43, 'moderate': 101, 'long lasting': 27, 'eternal': 13}","{'intimate': 71, 'moderate': 128, 'strong': 41, 'enormous': 42}","{'female': 33, 'more female': 58, 'unisex': 47, 'more male': 7, 'male': 1}","{'way overpriced': 7, 'overpriced': 11, 'ok': 39, 'good value': 53, 'great value': 12}"
Alahine,Teo Cabanel,for women,4.04,526.0,"{'amber': 100.0, 'woody': 90.7326, 'warm spicy': 75.7587, 'powdery': 65.563, 'vanilla': 64.4978, 'yellow floral': 61.8044, 'sweet': 58.5326, 'white floral': 56.9348, 'fresh spicy': 56.5544, 'balsamic': 56.5315}","['Ylang-Ylang', 'Bergamot']","['Pepper', 'Rose', 'Orange Blossom', 'Jasmine']","['Benzoin', 'French labdanum', 'Sandalwood', 'Vanilla', 'iris', 'Patchouli', 'Musk']","{'very weak': 8, 'weak': 14, 'moderate': 39, 'long lasting': 48, 'eternal': 19}","{'intimate': 27, 'moderate': 74, 'strong': 53, 'enormous': 54}","{'female': 2, 'more female': 8, 'unisex': 3, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 1, 'ok': 9, 'good value': 1, 'great value': 0}"
L’Homme Ideal Eau de Parfum,Guerlain,for men,4.37,2956.0,"{'sweet': 100.0, 'cherry': 92.8321, 'vanilla': 90.4173, 'almond': 90.1364, 'nutty': 76.135, 'amber': 68.2566, 'fruity': 67.9222, 'warm spicy': 65.7349, 'leather': 61.9966, 'smoky': 59.3635}","['Almond', 'Spices', 'Lavender', 'Bergamot', 'Rosemary', 'Thyme']","['Cherry', 'Vanilla', 'Incense', 'Bulgarian Rose']","['Tonka Bean', 'Leather', 'Sandalwood']","{'very weak': 74, 'weak': 108, 'moderate': 406, 'long lasting': 778, 'eternal': 198}","{'intimate': 237, 'moderate': 954, 'strong': 466, 'enormous': 276}","{'female': 2, 'more female': 9, 'unisex': 113, 'more male': 167, 'male': 115}","{'way overpriced': 4, 'overpriced': 28, 'ok': 190, 'good value': 110, 'great value': 25}"
Arabie,Serge Lutens,for women and men,3.98,2859.0,"{'fresh spicy': 100.0, 'sweet': 96.0072, 'fruity': 95.2813, 'warm spicy': 86.4919, 'amber': 79.3545, 'woody': 69.091, 'aromatic': 58.7941, 'balsamic': 48.4936, 'powdery': 44.1378}",[],"['Dried Fruits', 'Cloves', 'Dates', 'Nutmeg', 'Caraway', 'Bay Leaf', 'Resin', 'Siam Benzoin', 'Myrrh', 'Fig', 'Sandalwood', 'Mandarin Orange', 'Tonka Bean', 'Cedar']",[],"{'very weak': 33, 'weak': 48, 'moderate': 132, 'long lasting': 321, 'eternal': 146}","{'intimate': 102, 'moderate': 297, 'strong': 364, 'enormous': 186}","{'female': 2, 'more female': 7, 'unisex': 30, 'more male': 4, 'male': 0}","{'way overpriced': 1, 'overpriced': 7, 'ok': 24, 'good value': 3, 'great value': 2}"
Poison,Christian Dior,for women,3.95,11866.0,"{'fruity': 100.0, 'sweet': 96.4821, 'amber': 92.2035, 'white floral': 86.7026, 'woody': 85.1251, 'warm spicy': 78.9501, 'balsamic': 69.8069, 'tuberose': 69.5822, 'floral': 65.0911, 'honey': 63.3723}","['Plum', 'Wild berries', 'Coriander', 'Anise', 'Brazilian Rosewood']","['Tuberose', 'Incense', 'white honey', 'Cinnamon', 'Opoponax', 'Carnation', 'Jasmine', 'African Orange flower', 'Rose']","['Vanille', 'Amber', 'Sandalwood', 'Musk', 'Heliotrope', 'Vetiver', 'Virginia Cedar']","{'very weak': 78, 'weak': 90, 'moderate': 307, 'long lasting': 800, 'eternal': 1565}","{'intimate': 198, 'moderate': 519, 'strong': 1076, 'enormous': 1589}","{'female': 149, 'more female': 33, 'unisex': 35, 'more male': 2, 'male': 2}","{'way overpriced': 9, 'overpriced': 37, 'ok': 113, 'good value': 32, 'great value': 12}"
Levante Intense,Jo Milano Paris,for women and men,4.43,7.0,"{'citrus': 100.0, 'fresh spicy': 76.2, 'mossy': 72.0, 'white floral': 72.0, 'earthy': 65.0, 'aromatic': 55.2, 'woody': 51.0}",['Grapefruit'],"['Jasmine', 'Bay Leaf']","['Oakmoss', 'Patchouli']","{'very weak': 0, 'weak': 0, 'moderate': 0, 'long lasting': 6, 'eternal': 1}","{'intimate': 2, 'moderate': 6, 'strong': 11, 'enormous': 6}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 1}","{'way overpriced': 0, 'overpriced': 0, 'ok': 1, 'good value': 0, 'great value': 0}"
